Gene A ORF	Gene A allele	Gene B ORF	Gene B allele	Correlation
YOR072W-B	yor072w-b	YLR200W	yke2	0.270
YOR072W-B	yor072w-b	YCR065W	hcm1	0.230
YOR072W-B	yor072w-b	YOR349W	cin1	0.343
YOR072W-B	yor072w-b	YER007W	pac2	0.316
YOR072W-B	yor072w-b	YPL241C	cin2	0.274
YOR072W-B	yor072w-b	YER016W	bim1	0.496
YOR072W-B	yor072w-b	YBL034C	stu1-8	0.444
YOR072W-B	yor072w-b	YNL153C	gim3	0.315
YOR072W-B	yor072w-b	YBL034C	stu1-12	0.405
YOR072W-B	yor072w-b	YGR113W	dam1-1	0.545
YOR072W-B	yor072w-b	YLR045C	stu2-12	0.224
YOR072W-B	yor072w-b	YBL034C	stu1-6	0.438
YOR072W-B	yor072w-b	YJL030W	mad2	0.480
YOR072W-B	yor072w-b	YLR045C	stu2-10	0.212
YOR072W-B	yor072w-b	YEL061C	cin8	0.346
YOR072W-B	yor072w-b	YML124C	tub3	0.206
YOR072W-B	yor072w-b	YLR045C	stu2-11	0.214
YOR072W-B	yor072w-b	YGR078C	pac10	0.215
YLR200W	yke2	YDR212W	tcp1-2	0.237
YLR200W	yke2	YCR065W	hcm1	0.275
YLR200W	yke2	YML094W	gim5	0.762
YLR200W	yke2	YFL039C	act1-108	0.205
YLR200W	yke2	YOR349W	cin1	0.347
YLR200W	yke2	YLR045C	stu2-13	0.238
YLR200W	yke2	YER007W	pac2	0.274
YLR200W	yke2	YPL241C	cin2	0.292
YLR200W	yke2	YEL003W	gim4	0.537
YLR200W	yke2	YER016W	bim1	0.323
YLR200W	yke2	YBL034C	stu1-8	0.282
YLR200W	yke2	YNL153C	gim3	0.614
YLR200W	yke2	YBL034C	stu1-12	0.318
YLR200W	yke2	YGR113W	dam1-1	0.277
YLR200W	yke2	YLR045C	stu2-12	0.286
YLR200W	yke2	YBL034C	stu1-6	0.372
YLR200W	yke2	YJL030W	mad2	0.224
YLR200W	yke2	YFL039C	act1-136	0.245
YLR200W	yke2	YLR045C	stu2-10	0.220
YLR200W	yke2	YEL061C	cin8	0.330
YLR200W	yke2	YML124C	tub3	0.332
YLR200W	yke2	YDR212W	tcp1-1	0.201
YLR200W	yke2	YLR045C	stu2-11	0.230
YLR200W	yke2	YER013W	prp22-1	0.206
YLR200W	yke2	YGR078C	pac10	0.636
YDR212W	tcp1-2	YML094W	gim5	0.247
YDR212W	tcp1-2	YFL039C	act1-108	0.316
YDR212W	tcp1-2	YFL039C	act1-3	0.216
YDR212W	tcp1-2	YEL005C	vab2	0.316
YDR212W	tcp1-2	YEL003W	gim4	0.268
YDR212W	tcp1-2	YNL153C	gim3	0.293
YDR212W	tcp1-2	YFL039C	act1-101	0.307
YDR212W	tcp1-2	YDL029W	arp2-14	0.311
YDR212W	tcp1-2	YFL039C	act1-136	0.435
YDR212W	tcp1-2	YFL039C	act1-4	0.332
YDR212W	tcp1-2	YOR281C	plp2-5001	0.269
YDR212W	tcp1-2	YDR212W	tcp1-1	0.561
YDR212W	tcp1-2	YJL008C	cct8-5002	0.386
YDR212W	tcp1-2	YJR064W	cct5-5001	0.484
YDR212W	tcp1-2	YJL179W	pfd1	0.211
YDR212W	tcp1-2	YGR078C	pac10	0.253
YCR065W	hcm1	YOR349W	cin1	0.370
YCR065W	hcm1	YLR045C	stu2-13	0.295
YCR065W	hcm1	YER007W	pac2	0.337
YCR065W	hcm1	YPL241C	cin2	0.341
YCR065W	hcm1	YER016W	bim1	0.421
YCR065W	hcm1	YBL034C	stu1-8	0.377
YCR065W	hcm1	YNL153C	gim3	0.278
YCR065W	hcm1	YBL034C	stu1-12	0.344
YCR065W	hcm1	YGR113W	dam1-1	0.340
YCR065W	hcm1	YLR045C	stu2-12	0.401
YCR065W	hcm1	YBL034C	stu1-6	0.352
YCR065W	hcm1	YJL030W	mad2	0.263
YCR065W	hcm1	YLR045C	stu2-10	0.246
YCR065W	hcm1	YEL061C	cin8	0.375
YCR065W	hcm1	YML124C	tub3	0.249
YCR065W	hcm1	YLR045C	stu2-11	0.304
YCR065W	hcm1	YER013W	prp22-1	0.261
YCR065W	hcm1	YGR078C	pac10	0.228
YML094W	gim5	YFL039C	act1-108	0.304
YML094W	gim5	YOR349W	cin1	0.217
YML094W	gim5	YFL039C	act1-3	0.216
YML094W	gim5	YEL005C	vab2	0.202
YML094W	gim5	YLR045C	stu2-13	0.208
YML094W	gim5	YFL039C	act1-129	0.212
YML094W	gim5	YEL003W	gim4	0.460
YML094W	gim5	YNL153C	gim3	0.569
YML094W	gim5	YFL039C	act1-101	0.216
YML094W	gim5	YBL034C	stu1-6	0.203
YML094W	gim5	YJL030W	mad2	0.205
YML094W	gim5	YFL039C	act1-136	0.281
YML094W	gim5	YFL039C	act1-4	0.243
YML094W	gim5	YML124C	tub3	0.344
YML094W	gim5	YOR281C	plp2-5001	0.217
YML094W	gim5	YDR212W	tcp1-1	0.232
YML094W	gim5	YJL008C	cct8-5002	0.231
YML094W	gim5	YJL179W	pfd1	0.561
YML094W	gim5	YGR078C	pac10	0.575
YFL039C	act1-108	YFL039C	act1-3	0.438
YFL039C	act1-108	YFL039C	act1-129	0.400
YFL039C	act1-108	YEL003W	gim4	0.272
YFL039C	act1-108	YNL153C	gim3	0.250
YFL039C	act1-108	YFL039C	act1-101	0.364
YFL039C	act1-108	YDL029W	arp2-14	0.370
YFL039C	act1-108	YFL039C	act1-136	0.580
YFL039C	act1-108	YFL039C	act1-4	0.395
YFL039C	act1-108	YOR281C	plp2-5001	0.313
YFL039C	act1-108	YDR212W	tcp1-1	0.357
YFL039C	act1-108	YJL008C	cct8-5002	0.373
YFL039C	act1-108	YJR064W	cct5-5001	0.305
YFL039C	act1-108	YJL179W	pfd1	0.252
YFL039C	act1-108	YGR078C	pac10	0.313
