Gene A ORF	Gene A allele	Gene B ORF	Gene B allele	Correlation
YNL163C	ria1-ts	YNL067W	rpl9b	0.227
YNL163C	ria1-ts	YLR029C	rpl15a-5004	0.257
YNL163C	ria1-ts	YLR448W	rpl6b	0.255
YNL163C	ria1-ts	YDL130W	rpp1b	0.206
YNL163C	ria1-ts	YPL079W	rpl21b	0.211
YNL163C	ria1-ts	YKR057W	rps21a	0.276
YNL163C	ria1-ts	YNL302C	rps19b	0.222
YNL163C	ria1-ts	YGL031C	rpl24a	0.267
YNL163C	ria1-ts	YDR500C	rpl37b	0.225
YNL163C	ria1-ts	YGR085C	rpl11b	0.224
YNL163C	ria1-ts	YHL033C	rpl8a	0.214
YNL163C	ria1-ts	YBR084C-A	rpl19a	0.225
YNL163C	ria1-ts	YLR075W	rpl10-5001	0.270
YNL163C	ria1-ts	YLR185W	rpl37a	0.252
YNL163C	ria1-ts	YEL054C	rpl12a	0.332
YNL163C	ria1-ts	YOR294W	rrs1-124	0.235
YNL163C	ria1-ts	YNL227C	jjj1	0.234
YLR254C	ndl1	YNL085W	mkt1	0.224
YLR254C	ndl1	YMR122W-A	ncw1	0.541
YBR160W	cdc28-4	YAL040C	cln3	0.257
YBR160W	cdc28-4	YER111C	swi4	0.272
YBR160W	cdc28-4	YBR160W	cdc28-13	0.425
YBR160W	cdc28-4	YBR135W	cks1-38	0.456
YMR236W	taf9-ts2	YML098W	taf13-2	0.276
YMR236W	taf9-ts2	YPL011C	taf3-5001	0.292
YMR236W	taf9-ts2	YDR145W	taf12-ts23	0.394
YMR236W	taf9-ts2	YGL016W	kap122	0.231
YMR236W	taf9-ts2	YDR167W	taf10-5004	0.244
YMR236W	taf9-ts2	YDR167W	taf10-5002	0.490
YMR236W	taf9-ts2	YBR198C	taf5-15	0.296
YMR236W	taf9-ts2	YGL007W	brp1	0.206
YMR236W	taf9-ts2	YGL066W	sgf73	0.223
YMR236W	taf9-ts2	YGR274C	taf1-2	0.287
YMR236W	taf9-ts2	YMR005W	taf4-18	0.295
YMR236W	taf9-ts2	YJL175W	yjl175w	0.268
YMR236W	taf9-ts2	YDR145W	taf12-9	0.371
YMR236W	taf9-ts2	YDR145W	taf12-w486stop	0.408
YMR236W	taf9-ts2	YDR145W	taf12-l446a	0.247
YMR236W	taf9-ts2	YML114C	taf8-7	0.243
YMR236W	taf9-ts2	YOR194C	toa1-5001	0.251
YMR236W	taf9-ts2	YBR198C	taf5-20	0.240
YMR236W	taf9-ts2	YBR198C	taf5-3	0.349
YMR236W	taf9-ts2	YML098W	taf13-1	0.288
YMR236W	taf9-ts2	YGR274C	taf1-1	0.211
YMR236W	taf9-ts2	YPL011C	taf3-5002	0.318
YMR236W	taf9-ts2	YDR145W	taf12-l464a	0.316
YMR236W	taf9-ts2	YGL112C	taf6-ts	0.416
YPL210C	srp72-5003	YER019W	isc1-supp1	0.219
YPL210C	srp72-5003	YPL011C	taf3-5002	0.207
YML098W	taf13-2	YPL011C	taf3-5001	0.324
YML098W	taf13-2	YDR145W	taf12-ts23	0.347
YML098W	taf13-2	YGL016W	kap122	0.251
YML098W	taf13-2	YDR167W	taf10-5004	0.344
YML098W	taf13-2	YDR167W	taf10-5002	0.591
YML098W	taf13-2	YBR198C	taf5-15	0.269
YML098W	taf13-2	YAL011W	swc3	0.203
YML098W	taf13-2	YGR274C	taf1-2	0.311
YML098W	taf13-2	YMR005W	taf4-18	0.444
YML098W	taf13-2	YKR062W	tfa2-45	0.214
YML098W	taf13-2	YPR070W	med1	0.361
YML098W	taf13-2	YDR145W	taf12-9	0.340
YML098W	taf13-2	YDR145W	taf12-w486stop	0.359
YML098W	taf13-2	YDR145W	taf12-l446a	0.425
YML098W	taf13-2	YML114C	taf8-7	0.388
YML098W	taf13-2	YOR194C	toa1-5001	0.338
YML098W	taf13-2	YNR010W	cse2	0.222
YML098W	taf13-2	YML098W	taf13-1	0.574
YML098W	taf13-2	YGR274C	taf1-1	0.250
YML098W	taf13-2	YPL011C	taf3-5002	0.364
YML098W	taf13-2	YDR145W	taf12-l464a	0.417
YML098W	taf13-2	YGL112C	taf6-ts	0.231
YER173W	rad24	YBR100W	ybr100w	0.242
YER173W	rad24	YCL060C	ycl060c	0.316
YER173W	rad24	YOR368W	rad17	0.628
YER173W	rad24	YOR025W	hst3	0.377
YER173W	rad24	YBR099C	ybr099c	0.232
YER173W	rad24	YDR386W	mus81	0.230
YER173W	rad24	YBR087W	rfc5-1	0.455
YER173W	rad24	YPL153C	rad53-5002-supp1	0.348
YER173W	rad24	YCL061C	mrc1	0.338
YER173W	rad24	YAR007C	rfa1-m2	0.552
YER173W	rad24	YMR224C	mre11	0.227
YER173W	rad24	YOR144C	elg1	0.256
YER173W	rad24	YDR369C	xrs2	0.233
YER173W	rad24	YPL194W	ddc1	0.639
YER173W	rad24	YJL092W	srs2	0.236
YER173W	rad24	YLR234W	top3-supp1	0.262
YER173W	rad24	YOL123W	hrp1-4	0.361
YER173W	rad24	YPL024W	rmi1	0.212
YER173W	rad24	YPL153C	rad53-5001	0.310
YER173W	rad24	YMR190C	sgs1	0.262
YER173W	rad24	YNL250W	rad50	0.247
YER173W	rad24	YLR235C	ylr235c-supp1	0.263
YER173W	rad24	YBR136W	mec1-4ts	0.448
YDR394W	rpt3-1	YGL048C	rpt6-1	0.357
YDR394W	rpt3-1	YKL145W	rpt1-1	0.244
YDR394W	rpt3-1	YGR135W	pre9	0.203
YDR394W	rpt3-1	YGL048C	rpt6-20	0.376
YDR394W	rpt3-1	YPL231W	fas2-5011	0.224
YDR394W	rpt3-1	YFR052W	rpn12-1	0.232
YDR394W	rpt3-1	YDL097C	rpn6-1	0.283
YDR394W	rpt3-1	YOR259C	rpt4-150	0.328
YDR394W	rpt3-1	YDR363W-A	sem1	0.243
YDR394W	rpt3-1	YOR259C	rpt4-145	0.267
YDR394W	rpt3-1	YPL144W	poc4	0.202
YDR394W	rpt3-1	YDL147W	rpn5-1	0.295
YDR394W	rpt3-1	YGL048C	rpt6-25	0.328
YDR394W	rpt3-1	YFR004W	rpn11-8	0.291
YDR394W	rpt3-1	YOR117W	rpt5-5002	0.236
YDR394W	rpt3-1	YDL007W	rpt2-rf	0.271
YDR394W	rpt3-1	YFR004W	rpn11-14	0.286
YDR394W	rpt3-1	YGL048C	rpt6-1-supp1	0.283
YDR394W	rpt3-1	YLR021W	irc25	0.201
YDR394W	rpt3-1	YOR261C	rpn8-5007	0.268
YLR248W	rck2	YNL082W	pms1-supp1	0.212
YLR015W	bre2	YDL074C	bre1	0.462
YLR015W	bre2	YGL058W	rad6	0.319
YLR015W	bre2	YPL138C	spp1	0.263
YLR015W	bre2	YDR469W	sdc1	0.543
YLR015W	bre2	YAR003W	swd1	0.483
YLR015W	bre2	YGL244W	rtf1	0.375
YLR015W	bre2	YBR175W	swd3	0.453
YLR015W	bre2	YPL055C	lge1	0.379
YLR015W	bre2	YHR119W	set1	0.368
YLR015W	bre2	YNL238W	kex2	0.227
YBL105C	pkc1-2	YHR142W	chs7	0.209
YBL105C	pkc1-2	YLL021W	spa2	0.229
YBL105C	pkc1-2	YLR459W	gab1-1	0.213
YBL105C	pkc1-2	YBR023C	chs3	0.231
YBL105C	pkc1-2	YBR260C	rgd1	0.292
YBL105C	pkc1-2	YBL062W	ybl062w	0.263
YBL105C	pkc1-2	YPL066W	rgl1	0.234
YBL105C	pkc1-2	YLR371W	rom2-supp1	0.329
YBL105C	pkc1-2	YHR030C	slt2	0.485
YBL105C	pkc1-2	YDL203C	ack1	0.345
YBL105C	pkc1-2	YJL095W	bck1	0.512
YBL105C	pkc1-2	YBR078W	ecm33	0.221
YBL105C	pkc1-2	YBL061C	skt5	0.232
YBL105C	pkc1-2	YDR245W	mnn10-supp1	0.211
YBL105C	pkc1-2	YHR188C	gpi16-5001	0.224
YER019W	isc1-supp1	YPL112C	pex25	0.221
YER019W	isc1-supp1	YFR006W	yfr006w	0.234
YER019W	isc1-supp1	YDR119W	vba4	0.202
YLR100W	erg27-5001	YCR002C	cdc10-4	0.223
YLR100W	erg27-5001	YJR076C	cdc11-3	0.204
YLR100W	erg27-5001	YLR314C	cdc3-1	0.263
YLR100W	erg27-5001	YCR002C	cdc10-1	0.208
YLR100W	erg27-5001	YNL271C	bni1	0.246
YPL011C	taf3-5001	YDR145W	taf12-ts23	0.316
YPL011C	taf3-5001	YGL016W	kap122	0.237
YPL011C	taf3-5001	YDR167W	taf10-5004	0.343
YPL011C	taf3-5001	YDR167W	taf10-5002	0.480
YPL011C	taf3-5001	YBR198C	taf5-15	0.213
YPL011C	taf3-5001	YGR274C	taf1-2	0.329
YPL011C	taf3-5001	YPR070W	med1	0.266
YPL011C	taf3-5001	YDR145W	taf12-9	0.346
YPL011C	taf3-5001	YDR145W	taf12-w486stop	0.309
YPL011C	taf3-5001	YDR145W	taf12-l446a	0.334
YPL011C	taf3-5001	YML114C	taf8-7	0.299
YPL011C	taf3-5001	YOR194C	toa1-5001	0.271
YPL011C	taf3-5001	YNR010W	cse2	0.270
YPL011C	taf3-5001	YBR198C	taf5-20	0.287
YPL011C	taf3-5001	YBR198C	taf5-3	0.208
YPL011C	taf3-5001	YGR274C	taf1-1	0.297
YPL011C	taf3-5001	YPL011C	taf3-5002	0.551
YPL011C	taf3-5001	YDR145W	taf12-l464a	0.275
YPL011C	taf3-5001	YPL153C	rad53-5001	0.211
YPL011C	taf3-5001	YGL112C	taf6-ts	0.314
YGL048C	rpt6-1	YHR200W	rpn10	0.207
YGL048C	rpt6-1	YKL145W	rpt1-1	0.408
YGL048C	rpt6-1	YGR135W	pre9	0.499
YGL048C	rpt6-1	YGL048C	rpt6-20	0.554
YGL048C	rpt6-1	YER094C	pup3-5001	0.466
YGL048C	rpt6-1	YFR050C	pre4-5001	0.480
YGL048C	rpt6-1	YFR052W	rpn12-1	0.420
YGL048C	rpt6-1	YDL097C	rpn6-1	0.440
YGL048C	rpt6-1	YOR259C	rpt4-150	0.497
YGL048C	rpt6-1	YDR363W-A	sem1	0.390
YGL048C	rpt6-1	YOR259C	rpt4-145	0.477
YGL048C	rpt6-1	YIR011C	sts1-5001	0.215
YGL048C	rpt6-1	YDL097C	rpn6-5001	0.320
YGL048C	rpt6-1	YPL144W	poc4	0.393
YGL048C	rpt6-1	YDL147W	rpn5-1	0.454
YGL048C	rpt6-1	YPR103W	pre2-1	0.374
YGL048C	rpt6-1	YGR253C	pup2-5001	0.444
YGL048C	rpt6-1	YBR173C	ump1	0.389
YGL048C	rpt6-1	YDL147W	rpn5-5001	0.429
YGL048C	rpt6-1	YOR261C	rpn8-5008	0.419
YGL048C	rpt6-1	YFR004W	rpn11-8	0.516
YGL048C	rpt6-1	YBL041W	pre7-5001	0.493
YGL048C	rpt6-1	YFR010W	ubp6	0.226
YGL048C	rpt6-1	YOR362C	pre10-5001	0.415
YGL048C	rpt6-1	YOR117W	rpt5-5002	0.375
YGL048C	rpt6-1	YDL007W	rpt2-rf	0.519
YGL048C	rpt6-1	YOL038W	pre6-5001	0.418
YGL048C	rpt6-1	YFR004W	rpn11-14	0.532
YGL048C	rpt6-1	YGL011C	scl1-5001	0.444
YGL048C	rpt6-1	YLR021W	irc25	0.344
YGL048C	rpt6-1	YER012W	pre1-1	0.462
YGL048C	rpt6-1	YHR027C	rpn1-821	0.251
YGL048C	rpt6-1	YPR108W	rpn7-3	0.467
YGL048C	rpt6-1	YOR261C	rpn8-5007	0.477
YGL048C	rpt6-1	YOR157C	pup1-1	0.366
YLR261C	vps63	YML077W	bet5-5001	0.231
YLR261C	vps63	YNL051W	cog5	0.275
YLR261C	vps63	YLR026C	sed5-1	0.233
YLR261C	vps63	YGL137W	sec27-1	0.253
YLR261C	vps63	YBR254C	trs20-5001	0.373
YLR261C	vps63	YFR051C	ret2-1	0.261
YLR261C	vps63	YDR246W	trs23-5001	0.356
YLR261C	vps63	YDR320C	swa2-supp1	0.204
YLR261C	vps63	YER157W	cog3-1	0.211
YLR261C	vps63	YLR262C	ypt6	0.483
YLR261C	vps63	YOR070C	gyp1	0.230
YLR261C	vps63	YPL051W	arl3	0.275
YLR261C	vps63	YJR060W	cbf1	0.282
YLR261C	vps63	YLR039C	ric1	0.290
YLR261C	vps63	YKR020W	vps51	0.239
