Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_2018	S-adenosylmethionine-dependent methyltransferase activity (GO:0008757)	8/35	3.851284004e-06	0.0010745082371404	0.0026230270144492	0.7318245370313305	-1.5341352194424975	19.12622326597477	MET1;IRC15;RKM5;TRM11;YMR027W;OPI3;YNL092W;RMT2
GO_Molecular_Function_2018	methyltransferase activity (GO:0008168)	7/36	4.83409630796e-05	0.0067435643496063	0.0102416770470456	0.8721635018607056	-1.3864777299504718	13.777749839150047	IRC15;TGS1;RKM5;TRM11;YMR027W;YNL092W;RMT2
GO_Molecular_Function_2018	nucleobase transmembrane transporter activity (GO:0015205)	3/11	0.0029089966035498	0.1441840218563513	0.0425039299901005	0.8721635018607056	-2.0920558159477807	12.21749522641982	FUN26;NRT1;FCY22
GO_Molecular_Function_2018	mRNA binding (GO:0003729)	15/197	0.000384378561038	0.0357472061765409	0.2337425180008176	0.8721635018607056	-1.4476217072343969	11.383927234459968	PSP2;HSH155;TIF3;PUS1;LYS1;RAT1;PET309;YBR238C;MUD2;WHI3;RMD9;SBP1;PCS60;EAP1;CBP1
GO_Molecular_Function_2018	regulatory region DNA binding (GO:0000975)	3/15	0.0073905197924302	0.1441840218563513	0.0806115093763149	0.8721635018607056	-2.2287267060308897	10.93760381357396	RSC9;BRE2;TAF2
GO_Molecular_Function_2018	transcription coactivator activity (GO:0003713)	4/31	0.0099405872016034	0.1441840218563513	0.1384094357670617	0.8721635018607056	-2.111249383226508	9.735243648760116	SUB1;SRB2;IMP2';MET4
GO_Molecular_Function_2018	RNA polymerase III type 2 promoter sequence-specific DNA binding (GO:0001003)	2/7	0.0145134811257204	0.1441840218563513	0.0905553239725101	0.8721635018607056	-2.194316349020048	9.287833062451549	TFC6;TFC3
GO_Molecular_Function_2018	transcription factor activity, RNA polymerase III transcription factor recruiting (GO:0001153)	2/7	0.0145134811257204	0.1441840218563513	0.0905553239725101	0.8721635018607056	-2.1602027250016533	9.143441099469737	TFC6;TFC3
GO_Molecular_Function_2018	transcription regulatory region DNA binding (GO:0044212)	4/27	0.0060450452501824	0.1441840218563513	0.0989446881455943	0.8721635018607056	-1.7468412876090142	8.923767207662962	ADF1;RSC9;BRE2;TAF2
GO_Molecular_Function_2018	phosphatase activity (GO:0016791)	6/50	0.0024175470900365	0.1441840218563513	0.0995709030839805	0.8721635018607056	-1.4039948978395498	8.45907185969726	DET1;PTC6;YOR283W;PHO8;PHM8;YMR027W
GO_Molecular_Function_2018	transcription factor activity, RNA polymerase III promoter sequence-specific binding, TFIIIB recruiting (GO:0001004)	2/7	0.0145134811257204	0.1441840218563513	0.0905553239725101	0.8721635018607056	-1.997963443554984	8.456734571068898	TFC6;TFC3
GO_Molecular_Function_2018	protein phosphatase activator activity (GO:0072542)	2/7	0.0145134811257204	0.1441840218563513	0.0905553239725101	0.8721635018607056	-1.9931877756534175	8.43652070981263	RTS1;RRD2
GO_Molecular_Function_2018	nucleotide diphosphatase activity (GO:0004551)	2/7	0.0145134811257204	0.1441840218563513	0.0905553239725101	0.8721635018607056	-1.981517041690941	8.387122258760584	NPP2;NPP1
GO_Molecular_Function_2018	RNA polymerase III type 2 promoter DNA binding (GO:0001031)	2/8	0.0190012360187837	0.1441840218563513	0.1090445034795802	0.8721635018607056	-2.002413674327216	7.936068494413143	TFC6;TFC3
GO_Molecular_Function_2018	phosphotransferase activity, carboxyl group as acceptor (GO:0016774)	2/7	0.0145134811257204	0.1441840218563513	0.0905553239725101	0.8721635018607056	-1.860672101434954	7.875624619853241	ARG5,6;YHR033W
GO_Molecular_Function_2018	nucleoside-triphosphate diphosphatase activity (GO:0047429)	2/7	0.0145134811257204	0.1441840218563513	0.0905553239725101	0.8721635018607056	-1.834600747878297	7.765272992725948	NPP2;NPP1
GO_Molecular_Function_2018	methylation-dependent protein binding (GO:0140034)	3/17	0.0106035859744322	0.1441840218563513	0.1036731987061787	0.8721635018607056	-1.6779264161604088	7.628798220171255	SET3;JHD1;SGF29
GO_Molecular_Function_2018	phosphatase activator activity (GO:0019211)	2/8	0.0190012360187837	0.1441840218563513	0.1090445034795802	0.8721635018607056	-1.9112769164046448	7.57487062480946	WHI2;RTS1
GO_Molecular_Function_2018	RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly (GO:0001128)	2/7	0.0145134811257204	0.1441840218563513	0.0905553239725101	0.8721635018607056	-1.747617628112088	7.397101513713558	CSE2;SRB2
GO_Molecular_Function_2018	polymerase III regulatory region sequence-specific DNA binding (GO:0000992)	2/8	0.0190012360187837	0.1441840218563513	0.1090445034795802	0.8721635018607056	-1.8587794652129712	7.366810035840894	TFC6;TFC3
GO_Molecular_Function_2018	RNA polymerase III type 1 promoter sequence-specific DNA binding (GO:0001002)	2/8	0.0190012360187837	0.1441840218563513	0.1090445034795802	0.8721635018607056	-1.8471925144025887	7.320888038577523	TFC6;TFC3
GO_Molecular_Function_2018	methylated histone binding (GO:0035064)	3/17	0.0106035859744322	0.1441840218563513	0.1036731987061787	0.8721635018607056	-1.6038581421522682	7.29204214345517	SET3;JHD1;SGF29
GO_Molecular_Function_2018	nucleoside-triphosphatase activity (GO:0017111)	12/195	0.0080102942381427	0.1441840218563513	0.5318150335212543	0.8721635018607056	-1.4830516424248892	7.15873148416849	YPT31;NPP2;ARF1;KIP3;YBL113C;SSA4;IOC2;NPP1;YGR210C;SEY1;MDN1;YML133C
GO_Molecular_Function_2018	RNA polymerase III type 1 promoter DNA binding (GO:0001030)	2/9	0.0239892551315845	0.1624337860844558	0.1284160706728775	0.8721635018607056	-1.907760705365042	7.116232167604328	TFC6;TFC3
GO_Molecular_Function_2018	hydroxymethyl-, formyl- and related transferase activity (GO:0016742)	2/8	0.0190012360187837	0.1441840218563513	0.1090445034795802	0.8721635018607056	-1.7620758725598962	6.983549401542398	ADE16;FMT1
GO_Molecular_Function_2018	transcription factor activity, RNA polymerase II transcription factor recruiting (GO:0001135)	3/17	0.0106035859744322	0.1441840218563513	0.1036731987061787	0.8721635018607056	-1.5118612509218163	6.873772478396708	SRB2;SGF29;ROX3
GO_Molecular_Function_2018	RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly (GO:0001129)	2/10	0.0294466710217955	0.1825693603351322	0.1485088397044423	0.8721635018607056	-1.9495677559232771	6.87256637072717	SRB2;TAF2
GO_Molecular_Function_2018	ATP-dependent microtubule motor activity, plus-end-directed (GO:0008574)	2/8	0.0190012360187837	0.1441840218563513	0.1090445034795802	0.8721635018607056	-1.7316971018486884	6.8631507005990375	KIP3;PAC11
GO_Molecular_Function_2018	pseudouridine synthase activity (GO:0009982)	2/10	0.0294466710217955	0.1825693603351322	0.1485088397044423	0.8721635018607056	-1.9464252158067257	6.861488368714644	PUS1;PUS7
GO_Molecular_Function_2018	RNA polymerase II transcription coactivator activity (GO:0001105)	2/8	0.0190012360187837	0.1441840218563513	0.1090445034795802	0.8721635018607056	-1.721207025529359	6.821575892531574	CSE2;SRB2
GO_Molecular_Function_2018	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	3/17	0.0106035859744322	0.1441840218563513	0.1036731987061787	0.8721635018607056	-1.4911075026636265	6.77941425371588	UGA2;ALD4;ARG5,6
GO_Molecular_Function_2018	DNA binding (GO:0003677)	18/337	0.0059825586809314	0.1441840218563513	0.751616239919947	0.9211420291672888	-1.3204120564897466	6.759066425715447	CTF13;TOF1;WAR1;STP2;TFC3;YOX1;MRS1;YKL222C;RIM101;YPR196W;YLL054C;DIG1;RAD24;IOC2;OAF1;NDT80;SAE2;TAF2
GO_Molecular_Function_2018	phosphoric diester hydrolase activity (GO:0008081)	2/9	0.0239892551315845	0.1624337860844558	0.1284160706728775	0.8721635018607056	-1.8111010960797775	6.755677398356029	NPP2;NPP1
GO_Molecular_Function_2018	transaminase activity (GO:0008483)	3/18	0.0124679162934039	0.1441840218563513	0.1160737525974273	0.8721635018607056	-1.5294399937394407	6.705977443582718	BAT2;BIO3;YER152C
GO_Molecular_Function_2018	syntaxin binding (GO:0019905)	2/9	0.0239892551315845	0.1624337860844558	0.1284160706728775	0.8721635018607056	-1.6669078451249224	6.217815051201729	SPO20;VPS54
GO_Molecular_Function_2018	RNA polymerase II transcription factor activity, TBP-class protein binding (GO:0001132)	2/11	0.0353439320032938	0.1972191405783796	0.1691770760859691	0.8721635018607056	-1.7926475617630413	5.992154931080671	SRB2;TAF2
GO_Molecular_Function_2018	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	6/71	0.013451292415463	0.1441840218563513	0.2798106918436849	0.8721635018607056	-1.3661232530038716	5.886188056853636	AAD10;GPD1;ERG27;HMG1;LYS12;YDL124W
GO_Molecular_Function_2018	phosphoric ester hydrolase activity (GO:0042578)	3/19	0.014507768154219	0.1441840218563513	0.1289991544927494	0.8721635018607056	-1.3695629017191144	5.797457054310351	DET1;YOR283W;YMR027W
GO_Molecular_Function_2018	ubiquitin-like protein ligase binding (GO:0044389)	3/21	0.0191211785257526	0.1441840218563513	0.1562555869831079	0.8721635018607056	-1.462797628711285	5.788229854294179	ECM21;SNA3;ROD1
GO_Molecular_Function_2018	phosphatidylinositol-3-phosphate binding (GO:0032266)	4/35	0.0151776167048524	0.1441840218563513	0.1831086548300472	0.8721635018607056	-1.3690749925380246	5.733595054911198	VPS5;HSV2;CCZ1;VPS17
GO_Molecular_Function_2018	endodeoxyribonuclease activity (GO:0004520)	3/23	0.0244523979051869	0.1624337860844558	0.1851042142949757	0.8721635018607056	-1.4467656971689602	5.3689865562428025	MMS4;MRS1;SAE2
